2016-10-23 00:02:44.5566 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:45.9777 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:47.1568 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:48.3529 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:49.5599 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:50.7120 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:51.8661 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:53.2851 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:54.7842 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:55.0632 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXGeneral/AnIn6GGIO7.Beh.ST.stVal Value: 1 , Backend Type : HReg Addr : 102 Value : 0 

2016-10-23 00:02:56.1793 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:57.4764 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:58.7375 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:59.9515 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:01.0916 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:02.2617 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:03.7027 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:05.1778 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:06.5439 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:03:07.9170 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

